"topic","animalcrackers","apple","applesauce","avocado","bacon","bagel","banana","beans","beets","blueberries","bread","broccoli","bunny","burrito","butter","cake","candy","cantaloupe","carrot","carrots","cereal","cheerios","cheese","chexmix","chicken","coffee","cookie","corn","cracker","edamame","egg","eggs","eggy","fruit+snacks","goldfish","grapes","greenbeans","ham","hotdog","icecream","juice","juicebox","ketchup","mango","meat","milk","muffie","muffin","mummum","noodles","oatmeal","olives","orange","orzo","pancake","pancakes","pasta","peaches","peanutbutter","pear","pears","peas","peep","pepper","pepperoni","pickle","pizza","potatoes","pouch","pretzel","prunes","puffs","pumpkin","raisin","raisins","rice","sandwich","smoothie","spaghetti","squash","steak","stormtrooper","strawberries","strawberry","sweetpotato","sweetpotatoes","teddy","teddybear","teddygrahams","toast","tofu","tortellini","turkey","waffles","water","watermelon","yogurt"
"0","0","0.00019122087478405433","0","0","0","0","6.0185850504541308e-06","5.4101820192189885e-07","0","0","0.00018737263862940857","0","0.00056916407674280161","5.3277289326502316e-05","0","2.4014364044212338e-05","0.00011300340438333959","0","0","3.3286639148693777e-07","4.024400855028092e-06","0","8.3053014966042558e-05","0","0.0012515766743957833","6.2157317977147032e-06","0.00016228461388678977","9.4119794898507529e-05","0","0","0.00013914347791492741","0","0","0","0","0","0","0","0","0","0.0003993440309566778","0","0","0","0","0.00013620722209899597","0","0","0","0","0","0","0.00042842032510379457","0","0","0","0","0","0","0","0","9.9944495159948448e-05","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0208835991711669e-06","0","3.4865477179393546e-06","0","0","0","0","0","0","0","0","1.1925711468761998e-07","0","0","0","0","0","0","0","0.00058612261500836152","0","0"
"1","0","8.1595183001832703e-05","0","0","0","0","5.1648066539234942e-05","0","0","0","0.00016757515013389709","0","0.00015357573110598636","2.8725256324421167e-06","1.0623827478830937e-05","0.0013147822109318536","0.0023275845220293318","0","5.2307720883508682e-05","0","1.0879091757032511e-05","0","0.00017335656844783646","0","0.00025308014569346942","3.8858828063212834e-05","2.1487440330294877e-05","0","0","0","0.00016036951632765082","0.00012634970160170045","0","0","1.2322619367357929e-08","0","0","0","0","6.98846247230013e-05","0.00014652343211308757","0","0","0","0.00010104583939510786","0.0006590318599859347","0","4.1418042793513097e-07","0","0","0","0","8.852807128600652e-05","0","0","3.0482507740528723e-06","0","1.2993752377161549e-07","0","4.6327191348199498e-06","0","1.0550488647665719e-05","0","0","0","0","0","0","0","0","0","0","0.00053768599891144259","0","1.2350185558611144e-05","1.1293176503738971e-06","4.4007993312954634e-06","0","3.6447034163944919e-05","0","0","6.6618770258872785e-06","0","8.5965545427660063e-06","0","0","1.6505378417550559e-05","0","0","1.3813260807464505e-05","0","0","0.00044021188552211758","0","0.0020133774375072707","6.2743568535896894e-07","0"
"2","0","7.4496418159072526e-05","1.2453193516284518e-06","0","0","0","8.7691546503171599e-05","1.5177247349376454e-06","0","0","2.9275570103009977e-05","0","0.0013392178611095846","2.5441893107156964e-06","2.9578311411910746e-06","0.00020070938078594456","9.7997407886761778e-05","0","1.6554132495649059e-06","1.9382846285805988e-07","0.00043657090472555652","0.00010804635498673356","0.00014526273192666192","0","0.00025833720867715344","4.7856818715046012e-05","0.000100835244858568","3.6058685956478393e-05","1.8930332071389073e-05","0","0.00031794448854217114","0.00022779649623648157","0","0","3.4607700955385731e-05","0","0","0","0","0","0.00037686594189262579","0","0","0","6.9354493261418315e-06","0.00042743892396459953","0","0","0","1.4314838762790452e-06","0","0","0.00026814485428895024","0","0","2.36946189222831e-07","0","7.0708204867113562e-07","0","6.2038247418681068e-06","8.6483723818605268e-06","2.3127629628144557e-07","4.9351351803730267e-05","1.4615190455674156e-06","0","0","0","4.7920747804830071e-08","0","7.8041413431588823e-06","0","0","0.0009483863983535104","1.4278571592464943e-07","3.3544147020031412e-08","1.0262020197636416e-05","9.5417772540707032e-06","6.1843475062009979e-06","4.8562942757504435e-05","5.2830093710706729e-07","0","0","6.2510265336163505e-07","0","0","0","0.054781284919546293","0","0","0","0","0","0.00028882043225108835","0","0.0012603152493748471","9.2548540591194147e-07","5.8464023869318056e-05"
"3","0","0.00083356418823739232","7.6369696319832303e-06","6.2271107449049482e-05","3.7861518022546329e-05","0","0.00031298648298589999","0.00014222319572632105","7.9157705162565956e-07","4.4625203778311391e-05","0.0003631805921996487","0.00025112740656481325","0.00036626122045277886","0","0.00062381225049100615","0.00085961778079371789","0.00051156199612603518","6.8816665493699063e-06","9.6400449212168248e-05","0.00019813030456566335","0.00075389189644853403","5.6301487116498812e-05","0.00055538180373346734","0","0.0005542729496229563","0.00065097722932979025","0.00053494236268110602","0.0002344625136861479","5.3942701207255054e-05","0","0.00046579485084565961","0.0003219320523363542","0","0","1.4399817871872037e-06","1.6737692267006173e-05","0","1.8721285378590512e-05","9.6846996961923726e-06","0","0.0027676987112569239","0","1.2311397157134931e-05","0","0.00020690393997952033","0.0038514997723839415","0","9.7921156923532978e-06","0","2.979913038808191e-05","0.0036824447650870341","4.738098161356938e-06","0.0005683455820985594","1.8051474231097984e-06","1.0068085578594103e-05","0.00028900133050136423","9.0721835865674054e-05","3.5696852551104344e-05","0","1.5290771457055411e-05","3.8312064077952513e-05","0.00022352001733170647","9.0791487993630346e-05","4.3119093007353072e-05","0","3.8840468158925174e-05","0.00065627722223015846","0.00024617770036295099","1.4582673950977767e-06","4.6472750743065294e-05","0","0","0.00023627106036875917","2.6374757884787614e-05","2.2486838153959951e-05","0.0003127186744933999","0.00012605273406061227","1.5378942718843437e-06","0.00014652494714470035","0.00018179079074100382","1.7321362490456365e-07","0","0.00017162889771429898","0.00011271191963992274","0","0","0.00038721126046830463","0","0","0.00021361026908647626","0","0","0.00036350539324671408","9.071723029840484e-06","0.0041634504908160406","1.1465350666232682e-05","0.0009707940519085137"
"4","0","0.00063039153428222946","0","0","0","0","0.00033708107686021565","2.4494254552974961e-06","0","0","4.0651611995324624e-05","0","0.003831113348644815","0","1.9774079100072139e-07","0.00059308258263953827","7.113657438442642e-05","0","0.00016036384814389567","0.00012606085881134105","4.5367485123569321e-05","2.5321731694779446e-05","0.00015865503519839328","0","0.00054209736605423452","0.00018107123924328983","0.00052480926497004427","0","9.0592516731897562e-05","4.1323222657453712e-06","0.00040250658445868968","0.00039623391150361202","0","0","2.6842321327127479e-06","2.9447799462282179e-07","0","0","0","0","0.0011422712823198609","0","0","0","1.7868283673837598e-06","0.00020918551430106259","0","1.4891093002429294e-08","0","3.7575295016723707e-06","8.015732580179183e-07","0","0.0012072055331415394","0","9.7748457774951047e-07","2.1539280552757178e-06","0","0","0","0","0","0","0.00013834015772695726","2.944441016475392e-06","0","0","0","3.7084815028671015e-07","0.00055245799198859436","3.469945480131278e-08","0","0","1.8166863320053631e-05","4.5669173876578084e-07","6.0884112782187874e-05","7.9061376364150538e-08","2.6255685412397424e-05","4.6543812205737271e-08","1.2595548319063221e-05","0","0","0","0","3.29426070775007e-05","0","0","0.00058280456135050083","0","0","2.6627286078933848e-06","0","0","3.171990036406288e-06","0","0.00067938462330026513","0","0"
"5","0","2.2432962312879449e-05","0","0","0","0","6.5163515628983549e-06","2.5531140435315466e-06","0","0","0.0021131935669863795","0","5.9446680251550862e-05","0","2.5678137594223593e-06","0.00025221634127650314","0","0","0","0","0","0","0.00067164309055210941","0","3.0032365489491797e-05","0.00032658834309773848","4.28111853612176e-05","0","6.0190496572860484e-07","0","0.00023008586218064363","0.0011952420104477724","0","0","0","0","0","0","0","5.3869526160182293e-05","0.00031953269871142382","0","0","0","0","0.00019431073725964795","0","0","0","0","0","0","2.8346856932524736e-05","0","0","0","0","0","0","0","0","0","8.3194606286362795e-07","0","0","0","0","0","0","0","0","0","0","0","0","0","9.4070775752923828e-06","0.00032774556306333966","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00087621463259009407","0","0"
"6","0","0.00015023930170923264","0","1.3954319026060973e-05","2.4891444045343121e-05","0","5.2540112175688865e-05","6.365113627151655e-05","0","0","0.00020762601492869582","0","0.00024390082312175949","0","0.00047455706373325919","0.00056963102894534267","0.00047581875050520689","0","7.1720882032074872e-05","5.3028651360867493e-05","9.618627446022804e-05","8.360882647164211e-06","8.9093641594118703e-05","0","0.00034465932856965318","0.0001881308220760654","0.00051260108483529743","4.2523590855171368e-05","1.4873323625054551e-05","1.7604828136136234e-06","0.00012399745781521338","0.00020216800530479108","0","0","0","0.00012831325148173435","0","1.8639274619243851e-05","6.9916063429058419e-05","1.2774032116859983e-05","0.00045578422979862526","0","4.2674903714994751e-06","1.0651616013453453e-05","0.00037356628732619775","0.0004550589280304969","0","2.3638745475287335e-05","0","2.9562043444364882e-06","5.0303780565281257e-05","0","0.00021142243855476418","1.0153064567312291e-06","0.00019024139890060342","0.00064957230238707746","0","1.1317615340291271e-06","0","2.0596359292936802e-07","0","2.1039002101054082e-05","0","1.4648220007400969e-05","8.8239431277152784e-06","4.0392063816156991e-07","0.00026136199165532127","2.9523996006821549e-05","6.4413473083124628e-08","2.6775454026517182e-07","0","0","7.374043609764436e-05","8.8238432759640492e-05","7.557003314709707e-05","4.0158266058077741e-05","0.00014033904807059599","2.7662054265559817e-06","2.6273209646336448e-05","0","1.6856474851305038e-06","1.1624987911206497e-06","7.0225389259894325e-06","4.4725516662476893e-06","0","0","3.9050341614425184e-05","0","0","0.00033988593997402847","0","0","0.00052403050095877824","0","0.0028599128768577444","0","1.6321091700273384e-05"
"7","0","2.3786794535744214e-06","0","0","0","0","0.0033449323596494297","0","0","0","0.00015082554928460797","0","0.00070489152672778457","0","6.7240751624498793e-08","0.0002012413062701805","3.0095533477799473e-06","0","0","0","0","1.2824255001457633e-06","4.095999563507822e-05","0","8.1414777453937278e-05","0.00019828993358266052","0.00053312777197352026","1.9785445955249973e-07","1.100484989906667e-05","0","6.2997186499378012e-06","2.5566902552004463e-05","0","0","2.4485892043384257e-08","0","0","0","0","0","0.00023987682871067024","0","0","0","0","0.00050321508657368398","0","0","0","0","0","0","0.000215083526221886","0","0","0","0","0","0","5.1731458583053001e-08","0","1.0445143618362342e-08","0","0","0","0","2.697220277423029e-06","0","0","0","0","0","0","0","0","0","0","0.0013053513671097206","0","1.3349940915382408e-05","0","0","0","0","0","0","4.8084402842341776e-05","0","0","0","0","0","0","0","0.0015161682296399143","0","0"
"8","0","0.00022666033207390413","0","0","0","0","0.00020611465315812676","0","0","0","1.6171032812721998e-06","0","3.8206172102647006e-07","0","0","2.1131873496719111e-06","3.2575278169459281e-05","0","1.0533781853154621e-06","0","0","0","0.00016154676224595406","0","0.0001067939777782959","0.00051301900933432289","0","0","4.945438032476834e-07","1.2052537701824463e-05","1.5694245070246092e-05","6.316553346535483e-08","0","0","0","0","0","0","0","0.00018981886041055971","0.00010870555554295838","0","0","0","0","0.00036160510669380004","0","0","0","0","0","0","0.00010134654899166184","0","0","2.3073361800257373e-08","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.9827318849282546e-05","0.00048114649989053208","0","0","0","0","0","0","0","0","4.8742248097308395e-07","0","0","0","0","0","0","0","0.020470546511322976","0","0"
"9","0","0.00039552633775494488","2.2476326223213441e-05","0","1.1761629320354482e-06","4.9502273759372737e-05","9.9577740387460676e-05","0.00018934905026585667","4.6129575799493275e-05","0.00019475994694976","0.00017436536292541479","0.0012139444735538491","0.00038724764183831374","0","7.8043448583819895e-05","0.00021259377840817165","0.001103339619486346","4.3310124635021119e-05","0.00010282123236213418","0.00028152634307941079","0.00022234429273537188","1.3974932431844344e-05","0.00029443857547998366","0","0.0011070155752313431","0.00012625004777400679","0.00035056647487421571","0.00014948628554814684","4.0352009796635497e-05","0","0.00028303826589897796","0.00014774647389438638","0","0","8.0717450222992683e-05","1.4341340887523272e-05","0","5.3223017316843589e-06","5.5916911316392546e-08","0","0.00077419607980966224","0","2.2478595220973581e-05","1.4693622733225908e-05","0.00060926541949726202","0.001032061232345274","0","2.0814584678416374e-05","0","5.5034165468642689e-05","0.00010363077843296401","0","0.0012237221124075739","0","4.3902492071208637e-05","2.9410408047615436e-05","2.4056305097984793e-08","1.1390571163419315e-05","0","9.1465366158436192e-05","1.9357685812191905e-05","0.0001454397234101267","2.8743022807381708e-05","5.1930894258203301e-05","5.3342893669829988e-08","8.2000555376784764e-05","0.0008372230460742436","0.00014551242311830847","0","8.2159636896858926e-05","0","0","6.4806423148024408e-05","0.00013707921676158315","4.1558754875387457e-05","7.918798266882214e-05","8.3344484343995175e-05","0","5.3221074972487959e-05","4.2677276545233109e-05","3.5631156674318e-06","0","0.00012211740150024043","0.00019230973947551627","0","0","0.00015105851022714805","0","0","9.9834599615214068e-05","1.782259852974027e-06","0","0.00020596318384498674","1.2646889445488197e-05","0.0019957408507630652","0.0003576224286937832","3.5225855930820438e-05"
