"topic","alligator","ant","babybeluga","bear","bee","bird","birdie","bunny","butterfly","cat","caterpillar","cheetah","chicken","chickens","chicky","cow","crab","cricket","crocodile","deeno","deer","dino","dinosaur","dinosaurs","dog","doggy","donkey","dragon","duck","duckling","ducky","elephant","fish","fishy","fox","frog","frogger","froggy","giraffe","goat","goldfish","goose","gummybear","hippo","horse","horsey","jellyfish","kangaroo","kitty","kittycat","ladybug","lamb","lamby","lion","llama","monkey","monkeys","mouse","octopus","orca","owl","peacock","peep","penguin","pig","piggy","pony","puppy","rabbit","raccoon","reindeer","robin","scuttlebug","shark","sheep","skunk","snail","snake","snowleopard","spider","squirrel","teddy","teddybear","tiger","trex","turkey","turtle","whale","wonderpets","wormy","wubba","wubby","zebra"
"0","0","0","0","0.00042342131191604843","3.2606931706530043e-06","0.0015185447757095811","2.4105136033756937e-08","0.00056916407674280161","4.5216902320985315e-08","7.9132694945149184e-05","6.6074789571874004e-07","6.1686518076637131e-06","0.0012515766743957833","0","0","9.4250036446388158e-05","4.214051432667712e-08","1.4700612954475932e-07","0","0","0","0","0","0","0.00016262141853861707","0","0","0.00066305837749069659","0.00018514127722287456","0","0","0.0001099759900402518","0.00062176578472119366","0","0","0","0","0","1.056701699072955e-07","0","0","0","0","0","0.00057872566750284573","0","0","0","0.00035466411900794226","0","0","0","0","4.9065224053370934e-05","0","1.8917345565161409e-07","0","0.00030940275409704199","0","0","9.2113582243055571e-05","0","0","0","5.4130734279474674e-08","0","3.8148461432616694e-08","6.4419917807692054e-07","0.00067968211289461708","0","0","2.7153632046207852e-08","0","0","5.5456452293751962e-06","0","0","7.0671917038891414e-07","0","0","6.5446205079925721e-05","1.1925711468761998e-07","0","0.00038638499178770083","0","0","8.7387310432554543e-07","0","0","0","0","0","0"
"1","0.00039326058447889837","0","0","0.00044066112567706409","7.3187875990933155e-05","0.00019740189456773222","1.7789792625880848e-06","0.00015357573110598636","9.8826833233540242e-06","0.0010315567576666801","5.6888874980446073e-06","0","0.00025308014569346942","0","0","0.0010657759314349378","0","0","0","0","6.606607984246078e-06","0","0","0","0.0021647518954473924","0","0","0.00020423633044428888","0.00013397412702881146","0","0","0.00017721985443129077","0.002588038119462616","0","4.6564876596393235e-05","1.6499161943362443e-05","0","0","4.9009532416139657e-05","0","1.2322619367357929e-08","0","0","0","0.0012855372233520547","0","0.00035090097921966197","5.2682977266372164e-05","0.00012664429942467299","0","0","0","0","0.0012065400968106672","0","0.0033625117077251878","0.0083152823613851269","1.3966690205183275e-05","0","0","1.6484138774693008e-07","0","0","0","6.8899281879739824e-05","0","4.3898998474246241e-05","0.00011079977256552306","0.00033335041619259845","0","0","6.3053144568338501e-06","0","0","2.4264771744095699e-05","0","0","0.00044229170270122255","0","0.00024495551014091903","7.1514937868621349e-07","1.6505378417550559e-05","0","0.00026337562964091687","0","0.00044021188552211758","0.0007844230341136838","0.00019455500910602028","0","0","0","0","0"
"2","1.5777277310867701e-05","0","0","0.0027485026971368317","2.2631373697026334e-05","0.0012000747886347454","0.00023880127253466123","0.0013392178611095846","0.00051407732644374263","0.0010864991017807595","0.00014815778769667018","0","0.00025833720867715344","6.7056023053738767e-08","0","0.0096063121401845","0","0","0","0","0","0","0.0070862107482498786","0","0.00068515355058295052","0.00010143547821232885","0.0008411805107574156","0","0.00055722438241456263","0","0","0.00015011066417590336","0.0016270830024717351","0","0.00030698696090896105","0.0020825932852894984","0","0","1.5971212338845048e-05","0","3.4607700955385731e-05","0","0","1.4036281200262851e-07","0.0013804015094020107","0","0.0013638186132247879","1.6590519191283777e-06","0.0071202940223587547","0","0","9.0897830161743846e-06","0","6.5111886445757883e-05","0","0.00023798939557327542","0.00010685936726168832","2.0277362826625246e-05","0","0","1.2635637773546992e-05","0","4.9351351803730267e-05","0","0.0006554372601302352","0.00016358904672996179","0.00031768828318445375","0.00038079596646544914","4.726750504593781e-05","0","0","0","0","0","0.0046945273704750252","0","3.8301458987761079e-08","0","0","0.0012979131717234563","0.00036029832433735547","0.054781284919546293","0","6.0241995113647911e-06","0","0.00028882043225108835","0.00043862959640674783","8.5401885530701987e-08","0","0","0","0","0"
"3","8.4907485945699945e-05","3.0904093186962691e-05","0","0.00093112429479839107","0.00016618311285991228","0.00031289546470962331","3.4806989935721333e-05","0.00036626122045277886","8.4666233094250572e-05","0.00059330031420215122","7.4047306954327534e-05","0","0.0005542729496229563","4.7664600774625397e-05","2.0754222052528838e-06","0.0006874304724962311","8.0076402067155147e-06","0","1.2877184740367471e-05","0","7.1027990023319357e-05","0","0.00022609090885754583","8.1152435172157341e-05","0.00071271347604802339","0.00022954476507071095","0.00012844420234289964","1.7928672348237694e-05","0.00014327884488896835","0","2.2807731284657006e-05","0.00030074715159034306","0.0012436717387902727","2.2533576773449096e-07","2.7088578130747491e-05","5.4284835377976677e-05","0","2.6778965390680357e-05","5.1394353624530194e-05","4.9616507477801468e-05","1.4399817871872037e-06","5.2880561434333481e-05","0","0","0.0013811206818177776","0","1.6980470052728362e-08","4.2734306917744564e-05","0.0018162243915876147","0","0","5.8771289861886477e-05","0","0.00042202971923589917","0","0.00041491071105623808","0.00011687382214431326","0.00074484969483735151","2.6859254448926489e-05","0","5.8681440357324982e-05","0","9.0791487993630346e-05","4.294347308996925e-05","0.00018899901111289177","0.00019167456896532244","0.00022395931741543278","0.00025779197163053845","0.00020245839671482067","2.1118953495732975e-05","3.3130811115410371e-06","7.9724257669203151e-05","0","0","8.7680846742788462e-05","0","5.9017274766345258e-06","0.00011100043317854525","0","6.4400935576204555e-05","6.8340494371540612e-05","0.00038721126046830463","0","0.00035101776609961974","0","0.00036350539324671408","9.6957456553146485e-05","2.5522030848376524e-05","0","0","0","0","0.00010918744978638844"
"4","5.8881920383761867e-05","0","0","0.0005308367188837272","0.00015007980151310866","0.0034458499697205785","0.0010676476262038925","0.003831113348644815","0.00017231320286740292","0.001972140683426069","0","0","0.00054209736605423452","3.5607507826218241e-07","0","0.0055111676097630551","0","0","1.4720499748326776e-05","0","0","0","0.0015657051109201005","0","0.0023976956556436492","0.0017944415630165623","0.00027387252370900833","0.00025408020163841642","0.002149504848321852","0","0.00086761697191058346","0.00091841751316577348","0.0007321575382431266","0","3.447989724502652e-05","0.0014747290462238786","0","0","0.00044320633351693035","3.6583070510822524e-06","2.6842321327127479e-06","0.00017847838058008338","0","1.646323193074479e-05","0.0019047708164287292","0","0","0.0044466130834589553","0.0018318034136016316","0","0","0.0049432177116170289","0","0.0012284829483288277","0","0.00076511928244994655","1.9134330846436581e-05","0.0030250042811563564","0","0","0.00045027836724347925","0","0.00013834015772695726","6.1520688925968098e-07","0.0010696165699620574","0.00018336829368293319","9.0400882510031769e-07","0.00050650013732666751","0.001031798436708839","0","2.8567349502796752e-05","5.2582985906505555e-06","0","0","0.0043388540166395331","0.00020729946130405467","2.4046454412855051e-05","0.00094174374658213995","0","0.00014340376955463652","4.557570614930387e-05","0.00058280456135050083","0","0.00023185206973702583","0","3.171990036406288e-06","0.00030688783956386493","2.7409223226271192e-05","0","0","0","0","0.00023129203176604487"
"5","2.6691446652055649e-07","0","0","1.4969863667126384e-05","0","5.3208508265784125e-05","0","5.9446680251550862e-05","0","7.7783790643813438e-06","0.00050005550581061692","0","3.0032365489491797e-05","0","0","6.2735917202489684e-06","0","0","0","0","0","0","0","0","0.00021090155092486659","0","0","0","0.00016286399359256463","0","0","4.1427116626454406e-08","0.00047537379931663698","0","9.9493001191534035e-06","0","0","0","0","0","0","0","0","0","0.00059268643849014885","0","3.025598053508364e-08","0","0.00048550826678763994","0","0","0","2.4587838128296636e-08","9.569573023267146e-07","0","7.2042449942754617e-05","0","1.3219141552634174e-07","0","0","0","0","8.3194606286362795e-07","0","9.9145655490196031e-05","0","0","7.9526310600079277e-06","1.0220414405336148e-08","0","0","0","0","0","0","0","0","1.0981290700389231e-07","0","0","0","0","0","0","0","0","1.6765448466876344e-08","0","0","0","0","0","0"
"6","4.1972870880871043e-05","7.8129851850558133e-07","0","0.0004402432128185668","2.600845686361893e-05","0.00024106355041589333","1.0495531135622826e-06","0.00024390082312175949","8.4697805542048263e-06","0.00029966453716843018","1.8526476584552588e-06","0","0.00034465932856965318","1.355242039282388e-05","1.1939537249436344e-07","9.9702864687835197e-05","0","0","9.4254835321777547e-06","0","7.6674220777403715e-05","0","0.0026270105433669113","0.0024108792177607689","0.000473308939021239","0","0.00017410376920869278","1.3801361975902081e-05","0.00016910683866222718","0","0","0.00081824687856974648","0.0017402824463014224","0","1.7331130752265952e-05","0.00027299065298371227","0","0","0.00018556651948675799","1.7709488470146144e-06","0","0.00020809910597581442","0","0","0.00083653720505291751","0","2.9594605716882117e-07","3.1399019482820178e-05","0.00026224498454827507","0","9.6652597262187762e-06","6.672179885713322e-06","0","0.00088077450832827625","0","8.8804469227053682e-05","6.9967737813094789e-05","0.00014491527077079835","6.9270451200844786e-05","0","1.3459389230794415e-06","0","0","8.4834043616977119e-08","3.579543633771923e-05","3.1602863910535598e-05","5.0484865339845393e-05","0.00011101785800628242","0.00013091876734138176","0","2.5778917176877198e-05","0.00015787092026625332","0","0.0077003324431719625","2.8768540248942363e-05","4.3694891414125793e-06","4.2202794776948207e-05","0.0009261295385744018","0","0.00022707970316553631","2.4684857497204292e-05","3.9050341614425184e-05","0","0.00049197721803651722","2.2858584741027253e-08","0.00052403050095877824","0.00010935673113075892","5.5266629114416678e-05","0","0","0","0","0.00059748096596978003"
"7","0","0","0","0.00043260518070484559","0","0.00070727796878253637","4.1415485647356254e-07","0.00070489152672778457","0","0.0004428739468326529","0","0","8.1414777453937278e-05","0","0","0.00034294359093467631","0","0","0","0","0","0","0","0","0.00075929594067942877","0","0","1.3387460562066889e-08","0.00016249211533246938","0","0","2.5577495701020388e-05","9.8018133307921934e-05","0","0","0","0","0","0","0","2.4485892043384257e-08","0","0","0","0.00044340403296763193","0","0.00079560966425263376","1.6768459490170659e-07","0.010993267931634527","1.6173313734553272e-05","0","2.4104870437276403e-05","0","4.7722410909445726e-06","0","0.00018831313016748913","2.7721172036402571e-05","1.8905000238009851e-05","0","0","0","0","0","0","0.00019759883674858841","8.2913610824921917e-05","0","4.146704959973687e-08","0.00024940215665768104","0","0","0","0","0.00028090242397814819","3.790701227022204e-06","0","0","6.7216397272334429e-05","0","0","0","4.8084402842341776e-05","0","1.3086782304444533e-05","0","0","2.8007239836714629e-06","0","0","0","0","0","0"
"8","0","0","0","0.00023131794489710452","4.440403694574002e-06","0.00010737895246936204","0","3.8206172102647006e-07","1.8169651752585473e-08","5.5744711552568e-05","0","0","0.0001067939777782959","0","0","0.00037171706472212228","0","0","0","0","2.9565514160706673e-06","0","1.7779159648920796e-08","0","0.00023404160555399669","0","0","0","0.00026935034466073855","0","0","6.4847489149930133e-06","0.00020321694932635132","0","0","0","0","0","0","0","0","0","0","0","0.00016464699311259158","0","0","0","0.00034540699647415014","0","0","0","0","0.00010139251872966885","0","0.0001958928717333596","0","0.00010309855385394541","0","0","0","0","0","0","4.3187092840844348e-06","0","0","0.00051371577102318278","0","0","0","3.3902213066090859e-06","0","3.2664215133383706e-07","0","0","0","1.1723236538951353e-07","0","0","0","4.8742248097308395e-07","0","0","0","0","2.7888715049176701e-05","0","0","0","0","0","3.0661057878538113e-05"
"9","5.0230343802785196e-05","4.4436217207743788e-06","0","0.00022680442887073669","0.00085961343856297344","0.0004963182630316629","5.326693232364386e-05","0.00038724764183831374","0.00027132029520657579","0.0015095014700868081","0.00012343495800360555","0","0.0011070155752313431","0.00022810055532707793","7.9183771081491877e-06","0.00051925482102958267","8.628925185579677e-05","0.0018098643792736936","3.280198654217899e-05","0","5.4950417155391319e-05","0","0.00044160363746146842","1.6935282772119328e-05","0.00072560551956645609","5.2050418254176998e-05","6.904090133050748e-05","1.5035820927109845e-05","0.00036596940609663002","0","0","0.00028274237567041594","0.00074477884909309908","0","9.0943856065933351e-05","0.00036678939422551374","0","0","0.00010934822950726088","3.0774628981717222e-05","8.0717450222992683e-05","8.5118996596489829e-05","0","1.3907338568395273e-05","0.00058243153238115913","0","4.1757819195150766e-06","0.00014123778555452277","0.0012805665906588822","0","8.4823851226600872e-07","9.0506552857247765e-05","0","0.00042058929317866127","0.00037683965020136401","0.00020785472993336529","0.00019983316946051917","0.0002668274677319901","4.5015080277341071e-05","0","5.0609077183839577e-05","0","2.8743022807381708e-05","9.2913436027157966e-05","0.0015543547014467338","0.00010653905081886763","3.8518479197052149e-05","0.00013389377094069472","0.00027198323920228743","1.7024361362040864e-05","1.9652039832621973e-05","4.1433933336948866e-05","0","0.0013056194161782315","0.00048787235654166146","3.0355772910258636e-05","1.0429468644396852e-05","0.00063125511380901305","0","0.00044919253751114725","8.6749515903379376e-05","0.00015105851022714805","0","0.00019362029606402478","0","0.00020596318384498674","0.00030715174980745975","0.00019909086165494652","0","0","0","0","0.00016068587840595278"
