Animal,50,1289,1046,4646,648,870,359,2130,1630,466,786,3801,1511,2995,2147,2012,1163,1607,555,3540,293,1634,1171,1304,465,778,1306,31,1633,7193,1154,783,3434,2160,3411,1853,906,1450,851,950,17896,7554,11
Vehicle,1218,4604,3520,1761,61,1857,3945,4436,1890,1889,262,657,4247,541
Toy,3211,2059,1192,303,1205,18,4007,196,10003,3301,1664,757,572,2813,148,1433,1069
Food and Drink,968,1618,1180,4866,961,2135,1074,1784,3237,370,1029,260,1174,905,7564,629,6016,5999,29333,2977,16569,397,2917,805,1110,5479,1922,724,6098,624,79,1193,932,6864,477,790,1041,1154,1203,1799,800,899,1162,1076,6700,8698,1129,792,772,4382,640,7343,2947,381,296,1207,351,1749,798,7165,865,1017,11,1186
Clothing,2430,1587,2896,1507,1341,602,11584,2000,1357,4835,3772,1230,5556,3938,678,1402,946,1381,3179,917,301,1249,1069,810,863,3427,1234
Body Parts,673,494,698,636,3112,1189,6386,5812,1938,395,715,686,674,1038,1367,39460,3341,817,1031,2084,588,2757,396,3229,3839,390,4464
Small Household Items,297,1412,1864,1773,497,568,958,89,254,1068,1603,126,1340,650,3226,8394,936,613,549,2712,797,3219,4442,1762,2089,816,3615,3295,208,712,1156,1106,852,1860,1209,2790,3183,3846,3212,3473,1170,1372,3467,1686,1103,4278,1413,1155,354
Furniture and Rooms,43,230,4298,2008,1045,492,533,5482,5690,535,41,305,924,10,3534,2419,8487,5578,689,8660,4001,1109,3224,3594,1108,5535,1054
Outside Things,4145,20,2136,464,3331,1201,1236,3672,377,545,1347,1293,860,747,1729,1894,845,5086,4083,1649,6467,538,337,1767
Places to Go,1280,2018,512,1064,976,562,279,626,566,371,76,1082,448,22627,1198,5168,95
People,948,39,3557,1796,346,5961,25,4175,1573,2,2153,1510,1870,141,94,64,977,289,669,38,972,280,540,27,1114,185
Pronouns,372,4
